fyr,n,mean,sd,min,Q1,median,Q3,max
2012,10,104.3327885,9.1841453,93.08,97.87,104.4,107,124.5
2013,NA,NA,NA,NA,NA,NA,NA,NA
2014,18,97.670447,8.9422955,83.65,90.4,98.58,103,115.5
2015,15,97.0840375,12.4385253,78.24,86.02,96.65,105.6,119.8
2016,11,107.373147,6.8997178,94.36,103.9,107.6,111.6,118.9
