Year,Site,FID,Weight,Length,AC,AGE,SexCon,Sex,Delts
2013,15,167,NA,385,NA,3,3,1,NA
2013,18,128,NA,386,NA,3,8,2,NA
2013,10,9,NA,387,NA,4,8,2,NA
2013,15,NA,NA,388,3,NA,3,1,NA
2013,18,126,NA,392,NA,3,8,2,NA
2013,18,149,NA,394,NA,4,3,1,NA
2013,11,1,NA,395,NA,3,3,1,NA
2013,18,143,NA,396,NA,3,8,2,NA
2013,15,170,NA,401,NA,4,8,2,NA
2013,18,127,NA,402,NA,3,3,1,NA
2013,15,176,NA,406,NA,5,8,2,NA
2013,15,180,NA,411,NA,5,8,2,NA
2013,18,139,NA,422,NA,3,8,2,NA
2013,11,8,NA,426,NA,3,3,1,NA
2014,2,NA,85,164,3,NA,NA,NA,NA
2014,2,NA,85,174,3,NA,NA,NA,NA
2014,2,NA,113,192,3,NA,NA,NA,NA
2014,11,NA,198,219,3,NA,NA,NA,NA
2014,4,NA,198,220,3,NA,NA,NA,NA
2014,11,NA,255,237,3,NA,NA,NA,NA
2014,2,NA,227,238,3,NA,NA,NA,NA
2014,2,NA,255,241,3,NA,NA,NA,NA
2014,18,NA,198,241,3,NA,NA,NA,NA
2014,1,NA,198,245,3,NA,NA,NA,NA
2014,1,NA,227,246,3,NA,NA,NA,NA
2014,1,NA,255,250,3,NA,NA,NA,NA
2014,1,NA,227,251,3,NA,NA,NA,NA
2014,2,NA,255,252,3,NA,NA,NA,NA
2014,8,NA,227,252,3,NA,NA,NA,NA
2014,1,NA,255,254,3,NA,NA,NA,NA
2014,8,NA,283,255,3,NA,NA,NA,NA
2014,2,NA,312,256,3,NA,NA,NA,NA
2014,18,NA,227,256,3,NA,NA,NA,NA
2014,11,NA,340,257,3,NA,NA,NA,NA
2014,11,NA,255,257,3,NA,NA,NA,NA
2014,15,NA,340,257,3,NA,NA,NA,NA
2014,11,NA,340,258,3,NA,NA,NA,NA
2014,8,NA,255,260,3,NA,NA,NA,NA
2014,10,NA,312,260,3,NA,NA,NA,NA
2014,2,NA,255,261,3,NA,NA,NA,NA
2014,8,NA,283,261,3,NA,NA,NA,NA
2014,8,NA,283,262,3,NA,NA,NA,NA
