Month,Day,Year,FID,Site,Species,AC,AgeCap,Anu1,Anu2,Anu3,Anu4,Anu5,Anu6,Anu7,Anu8,Anu9,RadCap,LenCap,WTg,SEXCON,Sex,Prey Item,Tot Prey WTg,Prey Item B,Prey WT Ag,Prey WT Bg,Comments
6,29,2016,25,18,317,3,2,0.5016,0.7002,0.7537,NA,NA,NA,NA,NA,NA,0.7537,318,590,3,1,63,10,0,0,0,
6,29,2016,26,18,317,3,7,0.4086,0.588,0.7877,0.9167,1.0282,1.0873,1.145,1.1742,NA,1.145,386,901,3,1,0,0,0,0,0,
6,29,2016,27,18,317,3,1,0.4257,0.4693,NA,NA,NA,NA,NA,NA,NA,0.4693,133,36,6,2,999,0,0,0,0,
6,29,2016,28,18,317,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,125,6,2,999,3,0,0,0,* Questionable Maturity
6,29,2016,29,18,317,3,1,0.5259,0.5657,NA,NA,NA,NA,NA,NA,NA,0.5657,217,166,6,2,999,4.5,0,0,0,* Questionable Maturity
6,29,2016,30,18,317,3,4,0.4267,0.5961,0.7172,0.8109,0.8355,NA,NA,NA,NA,0.8355,339,612,3,1,999,1.5,0,0,0,
6,29,2016,31,18,317,3,4,0.463,0.6283,0.7943,0.8899,0.9253,NA,NA,NA,NA,0.9253,353,742,8,2,63,11.5,0,0,0,
6,29,2016,32,18,317,3,3,0.5143,0.6978,0.8177,0.8355,NA,NA,NA,NA,NA,0.8355,343,861,8,2,63,34.5,0,0,0,
6,29,2016,33,18,317,3,2,0.4744,0.666,0.7075,NA,NA,NA,NA,NA,NA,0.7075,276,333,1,1,0,0,0,0,0,* Questionable Maturity
6,29,2016,34,18,317,3,1,0.5204,0.5789,NA,NA,NA,NA,NA,NA,NA,0.5789,236,206,8,2,0,0,0,0,0,* Questionable Maturity
6,29,2016,35,18,317,3,1,0.5151,0.5728,NA,NA,NA,NA,NA,NA,NA,0.5728,207,128,1,1,0,0,0,0,0,
6,29,2016,36,18,317,3,3,0.4444,0.6404,0.7416,0.7759,NA,NA,NA,NA,NA,0.7759,315,454,3,1,999,5.5,0,0,0,Strange Black Growth
6,29,2016,37,18,317,3,5,0.644,0.826,1.0195,1.1615,1.2921,1.3237,NA,NA,NA,1.3237,403,1003,8,2,0,0,0,0,0,
6,29,2016,38,18,317,3,4,0.5294,0.6541,0.7572,0.8241,0.8497,NA,NA,NA,NA,0.8497,361,735,8,2,63,30,0,0,0,
6,29,2016,39,18,317,3,1,0.533,0.5999,NA,NA,NA,NA,NA,NA,NA,0.5999,223,189,1,1,999,7,0,0,0,
6,29,2016,40,18,317,3,4,0.4387,0.5982,0.7512,0.8434,0.8781,NA,NA,NA,NA,0.8781,398,1066,3,1,999,25,0,0,0,
6,29,2016,41,18,317,3,4,0.4093,0.5491,0.6652,0.7839,0.8144,NA,NA,NA,NA,0.8144,369,788,3,1,63,44,0,0,0,
